nombre,descripcion,precio,stock,activo,categoria_id
Audífonos Premium 1,Producto de la tienda UR referencia 1,35000,166,false,2
Mouse Oficial 2,Producto de la tienda UR referencia 2,80000,54,false,7
Agenda Clásico 3,Producto de la tienda UR referencia 3,12000,23,true,1
Cargador Clásico 4,Producto de la tienda UR referencia 4,12000,161,true,1
Cargador Vintage 5,Producto de la tienda UR referencia 5,3000,56,false,3
Libreta Vintage 6,Producto de la tienda UR referencia 6,8000,138,true,5
Carpeta Premium 7,Producto de la tienda UR referencia 7,5000,148,true,4
Mouse Clásico 8,Producto de la tienda UR referencia 8,80000,182,false,1
Snack Edición UR 9,Producto de la tienda UR referencia 9,50000,174,true,6
Sudadera Deportivo 10,Producto de la tienda UR referencia 10,25000,76,true,3
Gorra Clásico 11,Producto de la tienda UR referencia 11,120000,76,true,6
Sudadera Compacto 12,Producto de la tienda UR referencia 12,120000,18,true,7
Llavero Ecológico 13,Producto de la tienda UR referencia 13,8000,125,true,2
Carpeta Ecológico 14,Producto de la tienda UR referencia 14,25000,177,true,8
Cargador Deportivo 15,Producto de la tienda UR referencia 15,5000,23,true,8
Cuaderno Oficial 16,Producto de la tienda UR referencia 16,18000,165,true,8
Libreta Vintage 17,Producto de la tienda UR referencia 17,25000,5,true,6
Llavero Clásico 18,Producto de la tienda UR referencia 18,50000,15,true,5
Mug Edición UR 19,Producto de la tienda UR referencia 19,35000,100,true,8
Cuaderno Premium 20,Producto de la tienda UR referencia 20,50000,102,true,3
Agenda Compacto 21,Producto de la tienda UR referencia 21,35000,91,true,7
Gorra Premium 22,Producto de la tienda UR referencia 22,5000,45,true,4
Camiseta Deportivo 23,Producto de la tienda UR referencia 23,120000,46,true,1
Mug Vintage 24,Producto de la tienda UR referencia 24,80000,94,true,6
Mug Oficial 25,Producto de la tienda UR referencia 25,50000,199,true,7
Botella Vintage 26,Producto de la tienda UR referencia 26,35000,26,true,7
Termo Edición UR 27,Producto de la tienda UR referencia 27,5000,53,true,2
Audífonos Oficial 28,Producto de la tienda UR referencia 28,5000,0,true,2
Mouse Oficial 29,Producto de la tienda UR referencia 29,5000,53,true,3
Sticker Ecológico 30,Producto de la tienda UR referencia 30,120000,93,true,2
Bolígrafo Deportivo 31,Producto de la tienda UR referencia 31,50000,123,true,3
Esfero Ecológico 32,Producto de la tienda UR referencia 32,18000,122,true,3
Poster Oficial 33,Producto de la tienda UR referencia 33,12000,135,true,1
Poster Compacto 34,Producto de la tienda UR referencia 34,5000,178,true,6
Llavero Ecológico 35,Producto de la tienda UR referencia 35,12000,136,true,6
Gorra Edición UR 36,Producto de la tienda UR referencia 36,12000,102,true,4
Morral Deportivo 37,Producto de la tienda UR referencia 37,25000,187,false,1
Sticker Deportivo 38,Producto de la tienda UR referencia 38,18000,49,true,6
Sudadera Ecológico 39,Producto de la tienda UR referencia 39,25000,20,true,4
Bolígrafo Edición UR 40,Producto de la tienda UR referencia 40,25000,52,true,1
Bolígrafo Ecológico 41,Producto de la tienda UR referencia 41,5000,169,true,7
Morral Deportivo 42,Producto de la tienda UR referencia 42,8000,111,true,6
Cuaderno Vintage 43,Producto de la tienda UR referencia 43,50000,102,true,2
Llavero Premium 44,Producto de la tienda UR referencia 44,8000,7,true,8
